"scenario_name","fhist","stock","iter","lag_idx","range_idx_1","range_idx_2","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","fitness_improvement"
"rfb (capped): PA - mult","random","whg",1,1,2,3,1,1,1,2,1.13,1.2,0.7,15
"rfb (capped): PA - mult","random","bll",1,1,2,3,1,1,1,2,1.15,1.2,0.7,11
"rfb (capped): PA - mult","random","lem",1,1,2,3,1,1,1,2,0.27,1.2,0.7,30
"rfb (capped): PA - mult","random","ane",1,1,2,3,1,1,1,2,1.17,1.2,0.7,14
"rfb (capped): PA - mult","random","jnd",1,1,2,3,1,1,1,2,1.05,1.2,0.7,17
"rfb (capped): PA - mult","random","sar",1,1,2,3,1,1,1,2,1.1,1.2,0.7,16
"rfb (capped): PA - mult","random","her",1,1,2,3,1,1,1,2,1.1,1.2,0.7,16
"rfb (capped): PA - mult","random","san",1,1,2,3,1,1,1,2,0.93,1.2,0.7,16
"rfb (cond. capped): PA - mult","one-way","ang3",1,1,2,3,1,1,1,2,1,1.2,0.7,73
"rfb (cond. capped): PA - mult","one-way","rjc2",1,1,2,3,1,1,1,2,0.99,1.2,0.7,74
"rfb (cond. capped): PA - mult","one-way","smn",1,1,2,3,1,1,1,2,0.8,1.2,0.7,48
"rfb (cond. capped): PA - mult","one-way","wlf",1,1,2,3,1,1,1,2,1.08,1.2,0.7,-8
"rfb (cond. capped): PA - mult","one-way","meg",1,1,2,3,1,1,1,2,1.43,1.2,0.7,28
"rfb (cond. capped): PA - mult","one-way","lin",1,1,2,3,1,1,1,2,0.8,1.2,0.7,48
"rfb (cond. capped): PA - mult","one-way","rjc",1,1,2,3,1,1,1,2,0.79,1.2,0.7,44
"rfb (cond. capped): PA - mult","one-way","syc",1,1,2,3,1,1,1,2,0.78,1.2,0.7,39
"rfb (cond. capped): PA - mult","one-way","sdv",1,1,2,3,1,1,1,2,0.79,1.2,0.7,47
"rfb (cond. capped): PA - mult","one-way","ang",1,1,2,3,1,1,1,2,0.67,1.2,0.7,33
"rfb (cond. capped): PA - mult","one-way","ang2",1,1,2,3,1,1,1,2,0.69,1.2,0.7,34
"rfb (cond. capped): PA - mult","one-way","pol",1,1,2,3,1,1,1,2,0.73,1.2,0.7,42
"rfb (cond. capped): PA - mult","one-way","had",1,1,2,3,1,1,1,2,0.3,1.2,0.7,49
"rfb (cond. capped): PA - mult","one-way","nep",1,1,2,3,1,1,1,2,0.75,1.2,0.7,49
"rfb (cond. capped): PA - mult","one-way","mut",1,1,2,3,1,1,1,2,0.59,1.2,0.7,42
"rfb (cond. capped): PA - mult","one-way","sbb",1,1,2,3,1,1,1,2,0.35,1.2,0.7,33
"rfb (cond. capped): PA - mult","one-way","ple",1,1,2,3,1,1,1,2,0.53,1.2,0.7,39
"rfb (cond. capped): PA - mult","one-way","syc2",1,1,2,3,1,1,1,2,0.79,1.2,0.7,33
"rfb (cond. capped): PA - mult","one-way","arg",1,1,2,3,1,1,1,2,0.72,1.2,0.7,28
"rfb (cond. capped): PA - mult","one-way","tur",1,1,2,3,1,1,1,2,0.49,1.2,0.7,50
"rfb (cond. capped): PA - mult","one-way","gut",1,1,2,3,1,1,1,2,0.36,1.2,0.7,30
"rfb (cond. capped): PA - mult","one-way","whg",1,1,2,3,1,1,1,2,1.11,1.2,0.7,17
"rfb (cond. capped): PA - mult","one-way","bll",1,1,2,3,1,1,1,2,1.16,1.2,0.7,13
"rfb (cond. capped): PA - mult","one-way","lem",1,1,2,3,1,1,1,2,0.19,1.2,0.7,30
"rfb (cond. capped): PA - mult","one-way","ane",1,1,2,3,1,1,1,2,1.11,1.2,0.7,12
"rfb (cond. capped): PA - mult","one-way","jnd",1,1,2,3,1,1,1,2,0.96,1.2,0.7,17
"rfb (cond. capped): PA - mult","one-way","sar",1,1,2,3,1,1,1,2,1.04,1.2,0.7,16
"rfb (cond. capped): PA - mult","one-way","her",1,1,2,3,1,1,1,2,1.03,1.2,0.7,16
"rfb (cond. capped): PA - mult","one-way","san",1,1,2,3,1,1,1,2,1.1,1.2,0.7,17
"rfb (cond. capped): PA - mult","random","ang3",1,1,2,3,1,1,1,2,1.11,1.2,0.7,2
"rfb (cond. capped): PA - mult","random","rjc2",1,1,2,3,1,1,1,2,0,1.2,0.7,14
"rfb (cond. capped): PA - mult","random","smn",1,1,2,3,1,1,1,2,0.76,1.2,0.7,40
"rfb (cond. capped): PA - mult","random","wlf",1,1,2,3,1,1,1,2,0.24,1.2,0.7,46
"rfb (cond. capped): PA - mult","random","meg",1,1,2,3,1,1,1,2,0.01,1.2,0.7,18
"rfb (cond. capped): PA - mult","random","lin",1,1,2,3,1,1,1,2,0.49,1.2,0.7,30
"rfb (cond. capped): PA - mult","random","rjc",1,1,2,3,1,1,1,2,0.64,1.2,0.7,28
"rfb (cond. capped): PA - mult","random","syc",1,1,2,3,1,1,1,2,0.71,1.2,0.7,28
"rfb (cond. capped): PA - mult","random","sdv",1,1,2,3,1,1,1,2,0.54,1.2,0.7,34
"rfb (cond. capped): PA - mult","random","ang",1,1,2,3,1,1,1,2,0.65,1.2,0.7,33
"rfb (cond. capped): PA - mult","random","ang2",1,1,2,3,1,1,1,2,0.7,1.2,0.7,38
"rfb (cond. capped): PA - mult","random","pol",1,1,2,3,1,1,1,2,0.71,1.2,0.7,39
"rfb (cond. capped): PA - mult","random","had",1,1,2,3,1,1,1,2,0.72,1.2,0.7,49
"rfb (cond. capped): PA - mult","random","nep",1,1,2,3,1,1,1,2,0.83,1.2,0.7,50
"rfb (cond. capped): PA - mult","random","mut",1,1,2,3,1,1,1,2,0.57,1.2,0.7,40
"rfb (cond. capped): PA - mult","random","sbb",1,1,2,3,1,1,1,2,0.51,1.2,0.7,31
"rfb (cond. capped): PA - mult","random","ple",1,1,2,3,1,1,1,2,0.7,1.2,0.7,39
"rfb (cond. capped): PA - mult","random","syc2",1,1,2,3,1,1,1,2,0.83,1.2,0.7,31
"rfb (cond. capped): PA - mult","random","arg",1,1,2,3,1,1,1,2,0.77,1.2,0.7,25
"rfb (cond. capped): PA - mult","random","tur",1,1,2,3,1,1,1,2,0.65,1.2,0.7,50
"rfb (cond. capped): PA - mult","random","gut",1,1,2,3,1,1,1,2,0.53,1.2,0.7,29
"rfb (cond. capped): PA - mult","random","whg",1,1,2,3,1,1,1,2,0.16,1.2,0.7,21
"rfb (cond. capped): PA - mult","random","bll",1,1,2,3,1,1,1,2,1.2,1.2,0.7,9
"rfb (cond. capped): PA - mult","random","lem",1,1,2,3,1,1,1,2,0.52,1.2,0.7,31
"rfb (cond. capped): PA - mult","random","ane",1,1,2,3,1,1,1,2,0.3,1.2,0.7,15
"rfb (cond. capped): PA - mult","random","jnd",1,1,2,3,1,1,1,2,1.1,1.2,0.7,16
"rfb (cond. capped): PA - mult","random","sar",1,1,2,3,1,1,1,2,1.14,1.2,0.7,15
"rfb (cond. capped): PA - mult","random","her",1,1,2,3,1,1,1,2,1.14,1.2,0.7,16
"rfb (cond. capped): PA - mult","random","san",1,1,2,3,1,1,1,2,1.17,1.2,0.7,16
"rfb (cond. capped): PA - all","one-way","ang3",16,1,3,3,1.1,0.3,0.6,1,0.99,1.2,0.7,81
"rfb (cond. capped): PA - all","one-way","rjc2",21,0,3,3,1.3,1,0.6,2,0.99,1.2,0.7,85
"rfb (cond. capped): PA - all","one-way","smn",37,0,3,3,1,0.9,1.1,5,0.65,1.2,0.7,53
"rfb (cond. capped): PA - all","one-way","wlf",47,0,4,3,1,0.4,0.9,1,1.07,1.2,0.7,65
"rfb (cond. capped): PA - all","one-way","meg",16,0,3,3,1.5,0.8,1.1,1,1.52,1.2,0.7,80
"rfb (cond. capped): PA - all","one-way","lin",20,0,3,3,1.7,1,1.5,1,0.96,1.2,0.7,71
"rfb (cond. capped): PA - all","one-way","rjc",19,0,3,3,1.1,0.7,1.6,1,0.97,1.2,0.7,69
"rfb (cond. capped): PA - all","one-way","syc",26,0,3,3,1.7,0.6,1.5,3,0.87,1.2,0.7,55
"rfb (cond. capped): PA - all","one-way","sdv",14,0,3,3,1,0.7,1,1,0.92,1.2,0.7,65
"rfb (cond. capped): PA - all","one-way","ang",20,0,3,4,1.3,0.7,1.6,1,0.9,1.2,0.7,62
"rfb (cond. capped): PA - all","one-way","ang2",51,0,3,4,1.3,0.8,1.5,1,0.93,1.2,0.7,72
"rfb (cond. capped): PA - all","one-way","pol",18,0,3,3,1.4,0.7,1.6,1,0.94,1.2,0.7,68
"rfb (cond. capped): PA - all","one-way","had",10,0,2,3,0.9,0.7,2,1,0.95,1.2,0.7,58
"rfb (cond. capped): PA - all","one-way","nep",15,0,3,3,1.4,0.6,1.3,1,0.97,1.2,0.7,66
"rfb (cond. capped): PA - all","one-way","mut",10,0,2,3,0.9,0.7,2,1,0.95,1.2,0.7,50
"rfb (cond. capped): PA - all","one-way","sbb",12,0,3,3,1.2,0.3,1.1,1,0.56,1.2,0.7,36
"rfb (cond. capped): PA - all","one-way","ple",10,0,2,3,0.9,0.7,2,1,0.95,1.2,0.7,48
"rfb (cond. capped): PA - all","one-way","syc2",25,0,3,3,2,0.4,1.2,3,0.82,1.2,0.7,43
"rfb (cond. capped): PA - all","one-way","arg",23,0,3,3,1.5,0.8,1.3,4,0.66,1.2,0.7,35
"rfb (cond. capped): PA - all","one-way","tur",10,0,2,3,0.9,0.7,2,1,0.95,1.2,0.7,57
"rfb (cond. capped): PA - all","one-way","gut",20,1,4,3,1.3,0.9,1.2,1,0.55,1.2,0.7,32
"rfb (cond. capped): PA - all","one-way","whg",16,1,3,3,0.8,0.6,0.8,1,0.39,1.2,0.7,26
"rfb (cond. capped): PA - all","one-way","bll",17,0,2,3,0.7,0.7,0.4,1,0.17,1.2,0.7,29
"rfb (cond. capped): PA - all","one-way","lem",15,0,4,3,0.9,0.7,1.1,1,0.57,1.2,0.7,32
"rfb (cond. capped): PA - all","one-way","ane",14,0,2,3,0.9,0.6,0.8,1,0.4,1.2,0.7,16
"rfb (cond. capped): PA - all","one-way","jnd",18,1,3,2,0.8,0.4,1.1,3,0.88,1.2,0.7,18
