"parameters","objective","scenario","catch_rule","stat_yrs","fhist","stock","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"none","MSY-PA","GA","hr","all","one-way","wlf",1,1,1,1.4,1,1,Inf,0,0.00512,0.17664,0.00104,0,373.661273610012,0.0583760410063311,29.2689540042851,1.32220147277142,0.793996806114618,1.05474437203943,0.218221595661823,-0.595167440478726,NA,6.05242506162498e-12
"none","MSY-PA","GA","hr","all","random","wlf",1,1,1,1.4,1,1,Inf,0,0.41448,0.6734,0.35384,0,196.730170228281,0.105325128445683,28.2653904348218,0.696130263383642,1.43257086550995,1.01857966910129,0.22376410419319,-5.54621350991084,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","wlf",1,1,1,1.4,1,1,1.2,0.7,0.00584,0.14996,0.00128,0,395.96252812031,0.0546249672288536,29.1885566720419,1.40111452488755,0.742976891994467,1.05184715085079,0.2,-0.652961675747019,NA,8.67511887024471e-12
"none","MSY-PA","GA_cond_cap","hr","all","random","wlf",1,1,1,1.4,1,1,1.2,0.7,0.36656,0.62844,0.30564,0,217.662637595181,0.0983882522163588,28.596148883594,0.77019985832417,1.33821952760579,1.03049897487135,0.2,-5.46029911654718,NA,5
"mult","MSY","GA","hr","all","one-way","wlf",1,1,1,1.4,1,1.4,Inf,0,0.01292,0.49796,0.0028,0,282.921694239416,0.0798006177659622,31.564134844198,1.00111921470558,1.08540138282546,1.13745416321805,0.24803685962467,-0.399530237548295,1,NA
"mult","MSY","GA","hr","all","random","wlf",1,1,1,1.4,1,0.72,Inf,0,0.22764,0.4972,0.177,0,284.037581306855,0.0781626501320109,28.2520481195049,1.00506778424761,1.06312270397954,1.01809886162219,0.202561492374945,-0.453368138244752,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","wlf",1,1,1,1.4,1,1.54,1.2,0.7,0.01608,0.49948,0.00336,0,282.722510517605,0.0803062659660106,31.7768436782715,1.00041440254298,1.09227891423963,1.145119399413,0.2,-0.361613801955984,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","wlf",1,1,1,1.4,1,0.77,1.2,0.7,0.22672,0.49588,0.1768,0,285.10269064943,0.0783645193152717,28.6805033872424,1.0088366766667,1.06586841067699,1.03353879781707,0.199999999999999,-0.469095474483763,1,NA
"mult","MSY-PA","GA","hr","all","one-way","wlf",1,1,1,1.4,1,1.4,Inf,0,0.01292,0.49796,0.0028,0,282.921694239416,0.0798006177659622,31.564134844198,1.00111921470558,1.08540138282546,1.13745416321805,0.24803685962467,-0.3866102378473,1,2.99004621054444e-10
"mult","MSY-PA","GA","hr","all","random","wlf",1,1,1,1.4,1,0.3,Inf,0,0.05264,0.13512,0.04064,0,534.748942302481,0.0323415675438076,20.6638921777033,1.89221064373194,0.439891107581935,0.744649910470709,0.199817196858928,-1.47039007213386,1,0.123012142013697
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","wlf",1,1,1,1.4,1,1.54,1.2,0.7,0.01608,0.49948,0.00336,0,282.722510517605,0.0803062659660106,31.7768436782715,1.00041440254298,1.09227891423963,1.145119399413,0.2,-0.345533803407639,1,1.45165422224047e-09
"mult","MSY-PA","GA_cond_cap","hr","all","random","wlf",1,1,1,1.4,1,0.32,1.2,0.7,0.05392,0.13652,0.04224,0,533.029213411886,0.0325577463569118,21.1009274059741,1.886125378192,0.442831445504744,0.760399036569788,0.199999999999998,-1.55398219554443,1,0.228255853922218
"all","MSY-PA","GA","hr","all","one-way","wlf",0,4,1,0.9,1,1.3,Inf,0.41,0.02052,0.46888,0.00464,0,288.688388744411,0.0784079796027364,31.1121920924389,1.02152467951027,1.06645953211731,1.12116782535192,0.0557767919456993,-0.198469310173756,28,1.33658606951743e-08
"all","MSY-PA","GA","hr","all","random","wlf",1,4,1,1.6,3,0.32,Inf,0.14,0.0506,0.13092,0.03952,0,531.026647581833,0.0328665739067334,21.7973417268808,1.87903929334238,0.447031937418404,0.785495221608599,0.130392235324765,-1.26900280032278,37,0.045066493264239
"all","MSY-PA","GA_cond_cap","hr","all","one-way","wlf",1,4,1,0.5,1,1.32,1.2,0.7,0.0398,0.50064,0.01004,0,282.470412094102,0.0793360798033471,31.0035658822746,0.999522351558898,1.07908300884399,1.11725334026954,0.0580677749295467,-0.17600415297901,24,0.000205389338823816
"all","MSY-PA","GA_cond_cap","hr","all","random","wlf",1,4,1,1.8,2,0.37,1.2,0.7,0.05336,0.14404,0.04136,0,503.247459323118,0.0361789752372751,23.2233675606663,1.78074255717484,0.49208528519056,0.836883895161739,0.116536210291283,-1.23485191496307,20,0.174457042658684
"none","MSY","GA","hr","all","one-way","meg",1,1,1,1.4,1,1,Inf,0,0.0158,0.22784,0.01516,0,450.318085201649,0.0511530159433237,24.4793495010503,1.3913435084732,0.663042101975928,0.962440696576112,0.217307366579857,-0.662010178476942,NA,NA
"none","MSY","GA","hr","all","random","meg",1,1,1,1.4,1,1,Inf,0,0.20724,0.43152,0.20588,0.00356,372.220164413616,0.062101211023001,19.8255952319954,1.15004510477923,0.80495190229962,0.77947168017267,0.146296926051955,-0.72411035065851,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","meg",1,1,1,1.4,1,1,1.2,0.7,0.0164,0.20196,0.01572,0,474.063795033978,0.0478089471039214,24.4369345189391,1.46471040248658,0.619696496804061,0.960773090787541,0.199999999999999,-0.720337311699039,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","meg",1,1,1,1.4,1,1,1.2,0.7,0.18332,0.39644,0.1818,0.00488,398.939902497571,0.0570849874498573,20.0051992468491,1.23260082561946,0.73993193503897,0.786533069330753,0.1442377587176,-0.773625515006304,NA,NA
"none","MSY-PA","GA","hr","all","one-way","meg",1,1,1,1.4,1,1,Inf,0,0.0158,0.22784,0.01516,0,450.318085201649,0.0511530159433237,24.4793495010503,1.3913435084732,0.663042101975928,0.962440696576112,0.217307366579857,-0.64621017973895,NA,1.26200755310407e-09
"none","MSY-PA","GA","hr","all","random","meg",1,1,1,1.4,1,1,Inf,0,0.20724,0.43152,0.20588,0.00356,372.220164413616,0.062101211023001,19.8255952319954,1.15004510477923,0.80495190229962,0.77947168017267,0.146296926051955,-5.51687035065851,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","meg",1,1,1,1.4,1,1,1.2,0.7,0.0164,0.20196,0.01572,0,474.063795033978,0.0478089471039214,24.4369345189391,1.46471040248658,0.619696496804061,0.960773090787541,0.199999999999999,-0.703937313402571,NA,1.70353201063454e-09
"none","MSY-PA","GA_cond_cap","hr","all","random","meg",1,1,1,1.4,1,1,1.2,0.7,0.18332,0.39644,0.1818,0.00488,398.939902497571,0.0570849874498573,20.0051992468491,1.23260082561946,0.73993193503897,0.786533069330753,0.1442377587176,-5.5903055150063,NA,5
"mult","MSY","GA","hr","all","one-way","meg",1,1,1,1.4,1,1.52,Inf,0,0.04304,0.49776,0.0416,4e-04,324.375563073643,0.077629773600723,27.1311912212822,1.00222009468653,1.00623213147722,1.06670165303331,0.242970996556288,-0.354932744276125,1,NA
"mult","MSY","GA","hr","all","random","meg",1,1,1,1.4,1,1.18,Inf,0,0.25732,0.49824,0.2554,0.01892,324.893093705287,0.0687771369375579,18.8004103847436,1.00381910416102,0.891484824540759,0.73916506914667,0.153500874035444,-0.675474909049795,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","meg",1,1,1,1.4,1,1.66,1.2,0.7,0.05108,0.49824,0.049,4e-04,324.293632886536,0.0784500376518269,27.5182231420441,1.001966955766,1.01686434133991,1.08191836748887,0.2,-0.33496532325487,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","meg",1,1,1,1.4,1,1.32,1.2,0.7,0.26328,0.49888,0.2618,0.0282,324.599421443474,0.0677058363603392,18.3011591221779,1.00291174776446,0.877598695375783,0.719536290494295,0.158162723128564,-0.704818180398733,1,NA
