"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","sigmaL","sigmaB","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","sigmaR","sigmaR_rho","file"
1,2,3,1,1,1,1,2,0.19,Inf,0,0.6,0.6,0.03316,0.06652,0.0278,0,1050.79359955331,2.27159264528036e-10,3.31459161864657e-07,3.69826552313396,1.96546313031672e-09,6.86461089478492e-09,0.769829787300035,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.19_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.2,Inf,0,0.2,0.2,0.0318,0.06412,0.02624,0,1052.36254117759,5.12117128321028e-10,7.39493280027433e-07,3.70378740937249,4.43102039535979e-09,1.53151103084287e-08,0.745131783074719,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.2_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.2,Inf,0,0.4,0.4,0.03232,0.06512,0.02676,0,1051.53523923235,4.92856203515412e-10,7.07009033594778e-07,3.70087572218423,4.26436799119792e-09,1.46423525825115e-08,0.748540186751664,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.2_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.2,Inf,0,0.6,0.6,0.0336,0.06708,0.028,0,1050.59311419709,4.35199176056328e-10,6.38830395807814e-07,3.69755991540938,3.76549878632557e-09,1.32303541417049e-08,0.758756464246762,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.2_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.21,Inf,0,0.2,0.2,0.03208,0.06444,0.02632,0,1052.00517663853,9.65565633713000e-10,1.39066609348592e-06,3.70252966574465,8.35441890035515e-09,2.88010793325105e-08,0.73242992986698,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.21_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.21,Inf,0,0.4,0.4,0.03256,0.06536,0.02708,0,1051.23780874974,9.27003152847274e-10,1.32462470472229e-06,3.69982891632261,8.02076253589826e-09,2.7433343909953e-08,0.736213082164353,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.21_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.21,Inf,0,0.6,0.6,0.034,0.0678,0.02836,0,1050.0254177716,8.13661042852204e-10,1.20377272157429e-06,3.69556190921776,7.04008609828759e-09,2.4930465921886e-08,0.747836937004174,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.21_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.22,Inf,0,0.2,0.2,0.03236,0.06464,0.02668,0,1051.6599558864,1.76248719917963e-09,2.51267761335366e-06,3.70131466214545,1.5249669058579e-08,5.2038248159068e-08,0.719717300028641,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.22_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.22,Inf,0,0.4,0.4,0.03288,0.06576,0.0272,0,1050.99364448143,1.68253111216699e-09,2.43301304152674e-06,3.69896958077293,1.45578604220515e-08,5.03883728482906e-08,0.723626508302322,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.22_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.22,Inf,0,0.6,0.6,0.03444,0.06884,0.02868,0,1049.50548676698,1.47359037047765e-09,2.2049739589858e-06,3.69373201330901,1.27500304615844e-08,4.5665620393234e-08,0.737362856534801,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.22_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.23,Inf,0,0.2,0.2,0.0324,0.06476,0.02676,0,1051.5209435744,3.16668189707867e-09,4.4399449687556e-06,3.70082540865079,2.73992633630022e-08,9.19524880027612e-08,0.706970427405299,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.23_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.23,Inf,0,0.4,0.4,0.03308,0.06592,0.02732,0,1050.60419162582,3.00010735347149e-09,4.31414019649387e-06,3.69759890239289,2.59580008875778e-08,8.93470363826415e-08,0.711291437016855,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.23_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.23,Inf,0,0.6,0.6,0.03468,0.0696,0.02904,0,1049.30435323659,2.63161296609472e-09,3.98044619963477e-06,3.69302412433699,2.27696557693522e-08,8.24361414371622e-08,0.727539081429869,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.23_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.24,Inf,0,0.2,0.2,0.03252,0.06504,0.02692,0,1051.25634614848,5.51562904313814e-09,7.75035936246531e-06,3.6998941586525,4.77231934489476e-08,1.60512085467114e-07,0.694326720934366,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.24_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.24,Inf,0,0.4,0.4,0.03328,0.06624,0.02784,0,1050.32406335477,5.23831510705595e-09,7.58808196702734e-06,3.69661299162287,4.53237741779572e-08,1.57151275735882e-07,0.699014956978942,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.24_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.24,Inf,0,0.6,0.6,0.03536,0.07028,0.02972,0,1047.97609239713,4.54491378706506e-09,6.79561917020454e-06,3.68834931353648,3.93242181757549e-08,1.40739152087893e-07,0.717741639869068,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.24_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.25,Inf,0,0.2,0.2,0.03252,0.06516,0.027,0,1050.95064690681,9.35281284014626e-09,1.33168114026052e-05,3.69881825091341,8.09238788488484e-08,2.75794846411417e-07,0.681622999076279,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.25_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.25,Inf,0,0.4,0.4,0.03356,0.06644,0.02792,0,1049.92438966478,8.86634932373222e-09,1.30380645626679e-05,3.69520634104105,7.67148226708293e-08,2.70021922279357e-07,0.686846745413718,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.25_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.25,Inf,0,0.6,0.6,0.0384,0.07308,0.03288,0.00368,1046.4764780629,7.57459222866002e-09,1.12158012110318e-05,3.68307142452702,6.55380786847785e-08,2.32282344388564e-07,0.707656342258851,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.25_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.26,Inf,0,0.2,0.2,0.03272,0.06556,0.02716,0,1050.60497812263,1.55026473128906e-08,2.21553176727728e-05,3.69760167046651,1.34134444303193e-07,4.58842755223155e-07,0.66889989705751,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.26_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.26,Inf,0,0.4,0.4,0.03368,0.06692,0.02808,0,1049.58787791476,1.46839399536848e-08,2.17251190113232e-05,3.69402198875362,1.27050695672551e-07,4.49933221989271e-07,0.67443481138313,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.26_Inf_0_0.4_0.4"
