"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","fhist"
1,2,3,1,1,1,1,2,1.01,Inf,0,0.02164,0.1458,0.02088,0,893.73172354576,0.000638792404468647,0.539511410116957,2.76135441310364,0.00827998605310833,0.0212116640330433,0.262893853020882,"meg","one-way"
1,2,3,1,1,1,1,2,1.02,Inf,0,0.022,0.14648,0.02136,0,891.615129555543,0.000722616576431156,0.602571300385562,2.75481479276607,0.00936650957766441,0.0236909539632567,0.261685549772049,"meg","one-way"
1,2,3,1,1,1,1,2,1.03,Inf,0,0.02232,0.14744,0.0216,0,888.893467538494,0.000807194315900453,0.680058964726871,2.74640569949596,0.0104628007957664,0.026737492501444,0.259386064081513,"meg","one-way"
1,2,3,1,1,1,1,2,1.04,Inf,0,0.02252,0.14852,0.02172,0,885.922517194086,0.000908667565183922,0.764506996637142,2.73722638244979,0.0117780905251889,0.0300576878625468,0.256738484839885,"meg","one-way"
1,2,3,1,1,1,1,2,1.05,Inf,0,0.02304,0.14928,0.02212,0,883.330365081815,0.0010145671721848,0.853184097295338,2.72921743470174,0.0131507544185961,0.0335441551203537,0.255179835555587,"meg","one-way"
1,2,3,1,1,1,1,2,1.06,Inf,0,0.02328,0.15008,0.02268,0,880.363304869871,0.00113707202892975,0.954983058414748,2.72005013696088,0.0147386544909678,0.0375465271215495,0.254308814887305,"meg","one-way"
1,2,3,1,1,1,1,2,1.07,Inf,0,0.02384,0.15084,0.02288,0,877.313235105971,0.0012745362232524,1.06043770863198,2.71062636539618,0.016520456534685,0.041692627777039,0.252625344461698,"meg","one-way"
1,2,3,1,1,1,1,2,1.08,Inf,0,0.02408,0.15176,0.02344,0,874.239657080494,0.00142942987209844,1.17067941481416,2.70112996057909,0.018528178046695,0.0460269383960843,0.251778850277248,"meg","one-way"
1,2,3,1,1,1,1,2,1.09,Inf,0,0.02472,0.15256,0.02372,0,870.716889501992,0.00159870633213012,1.2951578936678,2.69024569906866,0.0207223286320448,0.0509209881293704,0.250693700544215,"meg","one-way"
1,2,3,1,1,1,1,2,1.1,Inf,0,0.02532,0.15312,0.02424,0,866.749073140388,0.00177639418757121,1.42877673287777,2.67798637456239,0.023025507183585,0.0561744042252275,0.250491209891881,"meg","one-way"
1,2,3,1,1,1,1,2,1.11,Inf,0,0.0258,0.15392,0.02492,0,863.054310767814,0.00197131687049651,1.58219563005468,2.66657070237118,0.0255520824602563,0.0622062879670953,0.24934074123874,"meg","one-way"
1,2,3,1,1,1,1,2,1.12,Inf,0,0.02628,0.15448,0.02532,0,859.040055332969,0.0021922933846179,1.74526857948779,2.65416789550163,0.0284163658208444,0.0686177346045309,0.24873147547555,"meg","one-way"
1,2,3,1,1,1,1,2,1.13,Inf,0,0.02684,0.15536,0.0258,0,855.290482745576,0.00243836006006949,1.91851517656831,2.64258287671056,0.0316058662385406,0.0754291727747513,0.248136202128882,"meg","one-way"
1,2,3,1,1,1,1,2,1.14,Inf,0,0.02756,0.15628,0.02644,0,850.942431910488,0.00268909037242993,2.11409351967505,2.62914874536493,0.0348558164178368,0.0831186155341178,0.247762307735744,"meg","one-way"
1,2,3,1,1,1,1,2,1.15,Inf,0,0.0278,0.1572,0.02696,0,845.935180518817,0.00296976197186902,2.3157820092245,2.61367788832401,0.0384938636341189,0.091048287454731,0.247138716849708,"meg","one-way"
1,2,3,1,1,1,1,2,1.16,Inf,0,0.0282,0.15832,0.02752,0,840.503137260502,0.00327840521030127,2.54030613893884,2.59689455588952,0.0424944774356104,0.0998757752844687,0.247436090284842,"meg","one-way"
1,2,3,1,1,1,1,2,1.17,Inf,0,0.02884,0.1592,0.02776,0,834.312699761674,0.00361120966114972,2.79084869931605,2.57776801997714,0.0468082673181461,0.109726214991662,0.246764278077221,"meg","one-way"
1,2,3,1,1,1,1,2,1.18,Inf,0,0.02924,0.16028,0.02828,0,828.360565533818,0.00395916898010952,3.04071359505121,2.55937776741649,0.0513184936262262,0.11955001134258,0.246927209461084,"meg","one-way"
1,2,3,1,1,1,1,2,1.19,Inf,0,0.0298,0.16124,0.02872,0,822.087689444227,0.00435644458134838,3.32743491451307,2.53999652177364,0.0564679544126834,0.130822870795575,0.246281955879856,"meg","one-way"
1,2,3,1,1,1,1,2,1.2,Inf,0,0.03008,0.16236,0.02956,0,814.661722970508,0.00477027885133918,3.60938627790233,2.51705258372878,0.0618320475982815,0.141908192591782,0.247124445376275,"meg","one-way"
1,2,3,1,1,1,1,2,1.21,Inf,0,0.03084,0.16336,0.02992,0,806.751695459536,0.00522738242239223,3.92626877913469,2.49261304689715,0.0677569946807277,0.154366882117243,0.247531641365685,"meg","one-way"
1,2,3,1,1,1,1,2,1.22,Inf,0,0.0312,0.16444,0.03048,0,797.819967594447,0.00571860463076553,4.25169343646339,2.46501677219062,0.0741241853452616,0.167161418747763,0.248114393578076,"meg","one-way"
1,2,3,1,1,1,1,2,1.23,Inf,0,0.03184,0.1654,0.03104,0,789.7666835002,0.00624922468173562,4.57651479105941,2.44013461685501,0.081002048311066,0.17993223566701,0.248922560412636,"meg","one-way"
1,2,3,1,1,1,1,2,1.24,Inf,0,0.03236,0.16624,0.0316,0,781.728484541779,0.00681084348568211,4.94513454855338,2.41529906992021,0.0882817151187957,0.19442504954505,0.250020125118107,"meg","one-way"
1,2,3,1,1,1,1,2,1.25,Inf,0,0.03336,0.16748,0.03224,0,773.49253912351,0.00742611338579423,5.32548122344684,2.38985254762761,0.0962568039836411,0.209378923981508,0.251171557745036,"meg","one-way"
1,2,3,1,1,1,1,2,1.26,Inf,0,0.03424,0.1682,0.0332,0,763.832115590762,0.00810257585841257,5.74136636990241,2.36000482884151,0.105025067036784,0.225730044342496,0.25164556431794,"meg","one-way"
1,2,3,1,1,1,1,2,1.27,Inf,0,0.03508,0.16988,0.0338,0,753.698923382971,0.00882241477864474,6.18419171692546,2.32869640117286,0.114355572813485,0.243140357285335,0.253713721222574,"meg","one-way"
1,2,3,1,1,1,1,2,1.28,Inf,0,0.03564,0.17076,0.0348,0,742.320926871661,0.0095901000450712,6.62239667517875,2.29354191347701,0.124306259851592,0.260369013024177,0.255487175020446,"meg","one-way"
1,2,3,1,1,1,1,2,1.29,Inf,0,0.03624,0.17224,0.03544,0,730.241239614003,0.0104018427456977,7.1045885079257,2.25621941855033,0.134828016517579,0.279327075752616,0.257680261591119,"meg","one-way"
1,2,3,1,1,1,1,2,1.3,Inf,0,0.03684,0.17404,0.03588,0,718.192282328103,0.0112921664067957,7.58838804265083,2.21899186972537,0.146368334538072,0.298348347587641,0.259512784256139,"meg","one-way"
